ID,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Education
FLP00001,16000,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00002,29000,3,3,Male,0,0,0,0,0,0,0,0,0,1,NA
FLP00003,27000,5,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00004,26000,3,1,Male,0,0,0,0,0,0,0,1,0,0,NA
FLP00005,27000,4,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00006,24000,3,2,Male,0,0,0,0,0,0,0,0,0,1,NA
FLP00007,28000,4,3,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00008,12000,1,1,Female,0,0,0,0,0,0,0,0,0,0,NA
FLP00009,33000,8,2,Male,0,1,0,0,0,0,0,0,0,1,Bachelor's Degree
FLP00010,33000,8,2,Male,0,1,0,0,0,0,0,0,0,1,Bachelor's Degree
FLP00011,40000,10,2,Male,0,1,0,0,0,0,0,1,0,0,Bachelor's Degree
FLP00012,26000,6,1,Male,0,0,0,1,0,0,0,0,0,1,Highschool
FLP00013,34000,8,1,Male,0,0,0,1,0,0,0,0,0,1,Highschool
FLP00014,26000,4,2,Male,0,0,0,1,0,0,0,1,0,0,Highschool
FLP00015,97000,21,2,Male,0,0,0,0,1,0,1,0,0,0,Some College
FLP00016,116000,8,0,Male,0,0,0,1,0,0,0,0,0,1,Highschool
FLP00017,13000,5,5,Male,0,1,0,0,0,0,0,0,0,1,Bachelor's Degree
FLP00018,17000,3,1,Male,0,1,0,0,0,0,0,0,0,1,Bachelor's Degree
FLP00019,12000,3,3,Male,1,0,0,0,0,0,0,0,0,1,Master's Degree
FLP00020,48000,5,3,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00021,147000,2,0,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00022,140000,7,2,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00023,167000,14,0,NA,0,0,0,0,0,0,0,0,0,0,NA
FLP00024,123000,5,2,Male,0,0,0,0,0,0,1,0,0,0,NA
FLP00025,153000,2,2,NA,0,0,0,0,0,0,0,0,0,0,NA
