Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Not COCOA BUTTER,205 people found this helpful,Sherlock,-,1,2020-02-22T16:59:17,OK  it says in big letters on the label: COCOA BUTTER . Well its like the 17th ingredient and it has stuff in it like alcohol and the first ingredient is Mineral oil . Also I m a guy OK this stuff has a smell  well it s some ware between a baby and old lady. I know I know I should have checked the ingredients before buying it but it says in big letters right on the front COCOA Butter. Don t buy this if you want COCOA BUTTER! I opened it so I cant send it back. I m mad at my self for being so dumb and this company for false labeling .
Great for Minnesota winters!!,35 people found this helpful,Justmom,-,5,2020-06-18T12:59:17,This is my new favorite body cream. For reference  I am 39 with combination skin as a whole; not so oily that I almost don t need moisturizer  not so dry that I m applying moisturizer all day long under normal circumstances. I bought this in abnormal circumstances because I needed something a little more high-octane to care for my skin (not face) through a particularly brutal Minnesota winter. This took good care of my arms  legs  torso and feet through bitter  dry cold without the need for reapplication throughout the day. With morning and night application  my feet remained quite soft and crack free  which is quite a feat for me! Obviously when regularly washing hands  reapplication is necessary there. Overarchingly this kept my skin comfortable in a very uncomfortable winter  though I m not sure it will be too heavy for gentler weather months  so I may consider using it year-round. The scent is gently cocoa butter that fades in a reasonable amount of time so I don t reek of cocoa butter all day long.
I Only Use this on My Face  Arms  and Shoulders,78 people found this helpful,Cape Cod Phil,-,4,2020-04-23T14:12:17,I was thinking the other day  man  how do those women in the Caribbean have such soft skin? So I did some research and it looks like Cocoa Butter is a staple. Polynesians and my brother slather themselves in Coconut Oil. And of course Africa gave us the much-touted Shea Butter. All three of these moisturizers are in Nivea Cocoa Butter Cream - but well after water and mineral oil  which are the top two ingredients.I decided to stick with Cocoa Butter  because the Caribbean is the region I ve traveled to the most. Been to Puerto Rico  the Dominican Republic (while the Presidential Palace of Haiti was burning down from a coup)  the Bahamas  and my favorite  Aruba.This big jar of Nivea Cocoa Butter is what I went with  partly because of a brand name  and partly because of price. It s a very nice product  white and creamy. It should be noted that it has perfume added so it does not smell like chocolate.I m getting old  so it s time to start paying attention to my skin. Hopefully it s not too late...p.s. Congrats to Nivea for having an excellent Men s line of products - body wash and shaving cream  in particular.
This is the very best widely available moisturizer I have ever used and I ...,40 people found this helpful,Mrs. Art Vandelay,-,5,2020-04-15T17:59:17,This is the very best widely available moisturizer I have ever used and I have tried everything. I have very dry  ahem  aging skin and this makes my skin look healthy and firm again. I love the cream texture rather than a lotion and I stay soft and supple all day long. I have given away all of my many bottles and jars of other creams and am only using this one.
Super moisture rich!,36 people found this helpful,Mile High Lover,-,5,2020-01-23T12:59:17,Love this! I was tired of the expense of The Body Shop s body butter creams and went with this and it is only fraction of the price. Also  you can just mix in some essential oils if you want something more fragrant than the light cocoa butter smell. I mixed in some lavender and I m going to try grapefruit next time.
LOVE this cream!,2 people found this helpful,Lucyfan,-,5,2020-02-10T17:59:17,I ordered this cream not knowing  what  to expect  but hoping that it was the type of cream that I wanted-- and to my delight  it IS!!! The texture and scent are perfect  and it works extremely well to keep my hands moisturized (without feeling greasy!)  especially during the harsh Midwest winter! The jar is an ample size  so the quantity of cream contained within should last for a while  making this an economical purchase  as well! So I highly recommend this cream  and will definitely plan to purchase it again in the future! :-)
A WINNER!!!,One person found this helpful,Penelope P.,-,5,2020-04-15T17:59:17,OMG!!! I have scary alligator skin accompanied by frightening knee wrinkles. Ugh. Everything I have ever tried (with the exception of JLO s favorite creme...but she s the only one that can AFFORD ($$$$) to slather not just her face but her whole body!) has left me dry again within HOURS. But not this!!! This creme is actually quite light for a creme (imo)  & KEEPS ME MOISTURIZED! I can use this after my morning shower  & later when going to bed am STILL MOISTURIZED! As for those creepy knee wrinkles? Adiós! Bye-bye! Sure  I m 54  & they ll never be completely gone  but with this creme they re no longer staring at anyone across the room (& touching them feels so smooth!) :) :) :)
From Ashy To Classy,6 people found this helpful,Phill.The.Thrill,-,5,2020-06-27T11:59:17,After running out of my last lotion  I decided to go with this Nivea Cocoa Butter. I m a fan of Nivea products for men because they have items especially for us with sensitive skin so I knew they d take care of me on this lotion. The lotion goes a long way in that you don t need gobs in order to stay hydrated. I have noticed that my skin isn t as dry after a shower like it was when using my old lotion so I m pretty happy about that plus my wife loves the way it smells so that s a win.
Another great Nivea product!,One person found this helpful,InkedMama,-,5,2020-01-18T17:53:17,I love Nivea products. I picked up the 1$ tin of Nivea Creme at the store one day and have been in love since. Every product I ve tried has impressed me. I use the Nivea Creme (blue tub  german verison) when I m really dry. I also love the In Shower Body Lotion because I can slather it on in the morning and go! The creme is more of a night creme that is very thick but I wake up with the softest skin.Then I found this lotion! I hesitated because cocoa butter isn t my favorite scent. However this lotion sinks into your skin fast so its thinner than the creme in a good way. I also like the scent!I use the creme and lotion on my boys - 3 & 6. My little one begs to copy mommy & put lotion on  he loves it! Didnt even get into the blackberry tinted lip balm!
I love it,One person found this helpful,wild oak,-,5,2020-05-17T17:59:17,I ve been looking for a body cream that s nourishing enough for my dry skin during the long winter days. I try this  and love it. It s smooth  soothing and my skin feels so silky. I also love the fragrance which doesn t smell  cocoa  at all. (There s a lot of cocoa cream on the market that really smells like cocoa  but no  I don t want to smell like cocoa bean. It just smells fresh  with a hint of floral scene  and it doesn t smell much at all on the skin. Be mindful  this cream is rather  thick  and it s best for winter times  but I wouldn t use this during summer days.
