Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Best sunscreen,-,jessica chavez,-,5,2020-02-18T17:23:17,Doesn t make me break out and protects all of my family members from being burned! Best sunscreen out there.
Love it,-,Amazon Customer,-,5,2020-05-17T17:59:17,Easy to spread. Great texture.
Great protection year round from sun damage,-,2streetmom,-,5,2020-07-12T17:12:17,Great sun protection-recommended by the Dermatologist too
It clumps when you want to add second layer,One person found this helpful,Mah,-,3,2020-05-22T11:59:17,We used this product when we were out at the beach. So after an hour of swimming we thought we should add more to keep the protection high. We got clumps of cream on our skin immediately after adding the second layer. Not sure why and please give me answers if you think of something.I was not wearing any makeup  it was just the sunscreen.
Still smells like sunscreen,-,Shere R Johnson,-,3,2020-07-16T12:59:17,Good moisture.
Good for daily wear  not active wear.,-,D.C,-,2,2020-08-13T14:59:17,This sunscreen provides great protection but cannot be worn alone if you have normal to oily skin. Although it has no white cast  it leaves a very shiny finish that needs to be set with a powder. If that is not an issue  if you wear it on an active day where you ll be sweating or swimming  the sunscreen can get into your eyes and be very irritating. The scent of the sunscreen is also citrusy and quite strong. I personally don t mind fragrance  but in a product like sunscreen that requires being applied in a hefty amount and repeatedly  it gets to be too much. Overall I would not purchase it again for myself.
Awesome!,-,lindsey,-,5,2020-08-13T14:59:17,Love it! Use it every day as a moisturizer.
Do not use for sports!,One person found this helpful,Huckleberry,-,2,2020-05-15T12:59:17,Even though it says water and sweat proof  I got sunburnt even thought I applied it multiple times while outside. I like the lotion aspect of this product  but only for every days activities. For sports  I was really disappointed this this product.
Thick and sassy  and not in a good way,-,brownidegurl740,-,2,2020-01-11T11:59:17,This sunscreen is NOT cosmetically elegant or for  everyday.  It s like the gloppy  greasy  sticky coppertone you lather on your toddler except it s 5 times as expensive. 30 minutes after I applied a modest amount to my arms  it was still tacky. Doesn t live up to the hype.
Not for people with oily skin...,-,Jennifer Fix,-,3,2020-01-23T12:59:17,The product is not bad  but if you have oily skin this product is not for you. I am someone who has had oily skin my entire life and this sunscreen just made my skin look even oiler. I will say that it has great protection and a nice smell  but overall it was just too greasy for my already oily skin.
Great Product,-,cherry,-,5,2020-09-29T17:59:17,This is a good product. Will be buying more.
love this stuff,-,DMiller,-,5,2020-02-22T16:59:17,LOVE this sunscreen! It is lightweight  smells. nice and goes on smoothly with NO white residue.
lasts and smells good!,-,Alaa Alam,-,5,2020-09-29T17:59:17,My go-to sunscreen for all occasions. It doesn t leave white cast and you ll feel refreshed and protected.
Great!,-,Samantha,-,5,2020-07-12T13:59:17,The first sunscreen that does not break my skin out! It smells great and leaves my skin feeling hydrated and dewy. I will be repurchasing.
The best sunscreen available!,-,Norman A. Stahl,-,5,2020-02-18T17:23:17,A real game changer! Easy on my sensitive skin  and protects for hours. Even on hot humid days! Love it!
Best sunscreen,18 people found this helpful,Mk,-,5,2020-06-18T12:59:17,Just purchased this again when my son ended up sunburned with a sunscreen spray. We have been using supergoop sunscreen for thee years now- we have a pool so the kids needed it daily. My kids love it  super easy to put on. It doesn t leave white streaks. Has a pleasant smell. The kids have never complained about burning eyes. And as long as we used supergoop  they have never walked away burnt. Not sure if this new version “play” is any different but I hope not.
Great sunscreen,-,Amazon Customer,-,5,2020-08-01T17:23:17,Love super goop! I have used this sunscreen for a few years. It s not greasy or smelly. Can wear it under clothes and not feel like have lotion on.
Great product!,-,Amazon Customer,-,5,2020-08-24T11:59:17,This is the absolute best sunscreen! It protects my skin and it makes my skin feel so silky smooth. Will continue buying this product! Strongly recommended.
love it,-,lapatrada ruabruam,-,5,2020-07-02T17:54:17,easy to use and it s work
The founder made misleading claims about this product,10 people found this helpful,S. Hoen,-,1,2020-04-15T17:59:17,I bought this product based on the claims that the founder of the company made on the podcast  How I built this . She made several claims that seemed to set this apart from regular sunscreen on the podcast. She said that it was great for active people who play outdoor sports. She said that it didn t sting your eyes  smelled better than regular sunscreen  and that it felt better on your skin than regular sunscreen. Well  she was 0-3 for those claims. It stung my eyes WORSE than normal sunscreen  smells just like every other sunscreen and felt like any other sunscreen on my skin. Sure  it kept me from getting a sunburn but so does the cheap stuff.
Best one,-,Agnieszka,-,5,2020-09-18T17:59:17,Best sunscreen ever!!!
My everyday sunscreen,15 people found this helpful,A. Hawley,-,5,2020-07-02T17:54:17,I bought this to test it out as a sunscreen for riding. I still haven t ridden with it on  but I ve used it everyday. One  it goes on super easy. I know when I ve finished an area. Next  it smells great. It smells like rosemary rather than sunscreen. Last  it layers well with my moisturizer. Although it does provide a fair amount of moisture on its own  I like to have a little additional moisturization.I had read good reviews about this product before  and now I believe them. I ll be buying this well into the future.
Very good product,-,Gigi tekle,-,5,2020-05-17T17:59:17,Love it
Great sunscreen,-,AmazonCustomer,-,5,2020-06-27T11:59:17,Lightweight sunscreen  great for your face
