,Customer Name,Review title,Ratings,Reviews
0,Dr. K Naidu,"Expires in April 2021, covid friendly",5,"  I like this product especially because it is very covid friendly. However this product expires in April 2021 and I was expecting it to last longer.

"
1,Jolene Byrne,Great to put in thank you bags,5,"  One of my jobs is being a personal shopper. I wanted to make up thank you bags, with a small treat, for my customers-they deserve appreciation too! These are PERFECT. Each bag has 3 mints in it and I put 2 in each thank you bag. Many ppl text and say how adorable they are.  And where did I get them!Most importantly is great attention I give each order, keeping my ratings high.  These little treats are just an extra way to remember me and to say thank you; without them, no job.Small investment can help influence tips, reviews, and preferred requests.Here’s a couple pics.  I purchase the cellophane bags in Amazon as well, they come with thank you stickers.  Then I buy rolls of plain brown stickers, also on Amazon, and include my first name (the roll had 500 stickers.  Economical!).Don’t you like it when someone takes the time to give you a little treat ? We all like to be appreciated.

"
2,A. Haag,Great single serve tic tacs,5,"  I got these to pack into bachelorette party hang over cure party favors - each individual serving pack has 3 tic tacs with in it.  Perfect for what I needed!!

"
3,Amazon Customer,Super cute!,5,"  I made hangover kits for a bachelorette party and they were a huge hit!!!

"
4,danagirl,Pleasantly surprised,5,"  we used these in wedding bags for overnight guests. We were very pleased with the packaging. Item arrived on time. I did not count how many packages were in each bag but the bags did not look like they had been previously opened.  Item arrived on time as promised and our guests were pleased

"
5,VIC,Cute for bride's gift bags,5,"  Im a makeup artist, and Love the size of these mint bags, they go into any pocket,  bag, and especially for my makeup kit  on the job, love putting them in my bride's gift bag/clients.

"
6,R. Rowe,Great product….,5,"  My daughter doesn’t always have the best breathe. I normally by the regular size but the make noise when she is in class taking them. They contain 4 tic tac in each package. Great serving size!!! She told me she only wants these from now on!! I’m glad I found such great packaging to my it easier for her to use discreetly!!!

"
7,Karen,Little tic tac bags,5,"  These tic tac bags were adorable. I thought they would be a little bigger. Each bag had 4 tic tabs unit. I used them to put into the hotel bags for my daughters wedding. They were by far the smallest item added to the bags.🤣

"
8,Molly,Super cute in their own little packs!!,5,"  Love these!  Who doesn't love TicTacs?  They're adorable in their own little packets of 4 tictacs. so cute each packet looks like a mini tictac box.I bought them to put out for my co-workers, they're fun and safe because they're individually wrapped.  You won't be disappointed.

"
9,Nicole Miller,Fresh and delicious!,5,"  The perfect amount of tic tacs in one little convenient packet. I can fit a lot of them in my bag and can share them! They stay so fresh and great in these little packs!

"
